app,score,date,thumbs_up,content
Hevy,5,2026-03-03,0,I really like using this app for my weight focused workouts. It keeps track of all my stats and the little how to videos for each exercise are great for when I need a refresher. The suggestions for similar exercises is also very helpful. I like how the app tells you what your workout volume equates to in a real life object like a helicopter or elephant!
Hevy,3,2026-04-14,1,"I've been using this app on my phone and watch for a few weeks. its a good app with decent user interface. were it falls short for me is: A) widgets on phone. my homescreen is 5 tiles across and their widget is 4, with no option to adjust length. B) on watch after I've started a workout, to allow you to see what you done the last two sessions on each exercise. c) to add suggested weight increases based on previous workout on each exercise, viewable on the workout itself after you've started."
Hevy,5,2025-12-15,0,"I've used a lot of fitness and tracking apps, they have ranged from bad to ok. Some were missing features I needed, some had features I didn't want etc. Then I found my Goldilocks app. HEVY found a way to make the process easy. Logging is simple, you can create routines, add exercises by selecting from an extensive list, or creating your own. It keeps a complete history and is easy to use. I even got their paid subscription just because I want them to succeed. I do like the added functionality."
Hevy,5,2026-02-18,3,"Great app. The free version is good enough for most people, supporting up to 3 workout routine rotations. I decided to upgrade to the paid version to have the flexibility of having more routines. I love the tracking, the timing between sets, ability to do supersets (no breaks between 2 or more workouts) and the tracking of your best overall lifts. This app helped me gain 10 lb of muscle in 8 weeks. Current total gain is 15 lbs of muscle. Goal is 30 lb 💪"
Hevy,4,2025-12-14,1,"Love the app! A few critiques: it's a massive battery drain on my pixel watch 3. Distance related exercises (like walking lunge), allow you to select increments of 5 yards on the phone, but increments of 10 yards on the watch, so even if I have it set to 15 yards on my phone, if I finish a set on my watch, it automatically changes it to 20 yards. Seems to completely lose connection to my watch if it enters battery saving mode. Love the integration with watches but improvements can be made!"
Hevy,5,2026-02-02,1,"after using the free version for a couple of months I moved on to the Pro version and updated my review from 4 to 5 stars. for a few bucks a month, it's a no brainer. the app works very well and syncs seamlessly with my watch during workouts. I track 3 90-minute sessions a week with 32 sets over 8 exercises each session, mainly all with my watch. love the stats and reports as well. haven't found anything major to complain about."
Hevy,5,2026-01-28,1,"Super simple and straight forward. I just wanted a way to track my workouts like a spreadsheet but needed the spreadsheet to be on steroids, and this is exactly that. I barely found out today that the app also has a way to track not only your weight but measurements of multiple body parts and appendages, like my neck, my back, my... you get the point.. it's super dope. I bought the lifetime membership. 100% worth it cause I can have all of my routines and variations of them stored in there."
Hevy,4,2026-02-20,2,"The app is really good, makes updating and tracking your progress workout to workout easy. My only complaint is that I wish their was a way to create a routine from your current workout, currently you'd have to remember your weight and rep ranges, plot them all down in the tracker, and save it. would be very convenient to just have an option added to the drop-down menu during your current workout, other than that though Hevy is great."
Hevy,5,2026-01-12,0,"Super easy to use and very customizable. I'm coming back after logging my 25th workout! I really enjoy using this app! after trying a few options, this one stuck. I love the celebration whenever you beat your PR and how it breaks down what muscle groups your workout focused on. It is so nice having all my rep counts and weights automatically saved from my last workout, and the short ""how-to's"" at the top of workouts. Great app for beginners or anyone trying to more effectively workout."
Hevy,5,2026-01-22,0,"This app is great. I was using the bodybuilding app and when they updated it last year, it completely ruined it and I was on the hunt for a better app. This app is the best one I've ever used. It tracks your progression, personal bests, best volume, literally anything. It even adds up the total weight lifted and will tell you if you have lifted a truck, dinosaur, yacht, and more. One thing I would love to see in the future is badges or trophies or anything like that."
